Name,Value.lat,Value.lon,Value.address
"Husbandsbosworth, Leicestershite, England",52.4496866,-1.0604836,"Husbands Bosworth, Harborough, Leicestershire, England, United Kingdom"
"Ipswich, Massachusetts Bay, British America, Essex, England, United Kingdom",42.679273,-70.8411583,"Ipswich, Essex County, Massachusetts, 01938, United States"
"Jamaica, Livingston, New York, USA",40.6987631,-73.8088251,"Jamaica, 94th Avenue, Queens, Queens County, City of New York, New York, 11435, United States"
"Jamaica, Long Island, New York",40.6987631,-73.8088251,"Jamaica, 94th Avenue, Queens, Queens County, City of New York, New York, 11435, United States"
"Jamaica, Queens, New York Colony",40.6987631,-73.8088251,"Jamaica, 94th Avenue, Queens, Queens County, City of New York, New York, 11435, United States"
"Grestain, Eure, Haute-Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Kings Stanley, Stroud District, Gloucestershire, England",51.7643786,-2.1880662,"Gloucestershire, England, United Kingdom"
"Lancastershire, Oxfordshire, , England",53.8611743,-2.547115,"Lancashire, England, United Kingdom"
"Lapraire, Laprarie, Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Laprairie, Canada, Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Laprairie, Naperville, Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Laprarie, Laprarie, Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Leicester Castle, Leicestershire, , England",52.6849138,-1.1847653,"Leicestershire, England, United Kingdom"
"Leiden, Leiden Municipality, Zuid-Holland, Netherlands",52.1594747,4.4908843,"Leiden, Zuid-Holland, Nederland"
"Little Compton, Newport, Rhode Island Colony",41.5101085,-71.1711648,"Little Compton, Newport County, Rhode Island, United States"
Long Island (Jaimaica area) New York Colonly,40.7455316,-73.9484995,"Long Island City, Queens, Queens County, City of New York, New York, 11109, United States"
"Long Island City(Gravesend), Queens, New York, United States",40.7455316,-73.9484995,"Long Island City, Queens, Queens County, City of New York, New York, 11109, United States"
"Long Island City, Queens, New York, Colonial America",40.7455316,-73.9484995,"Long Island City, Queens, Queens County, City of New York, New York, 11109, United States"
"Markham Township, York County, Ontario, Canada",43.8563707,-79.3376825,"Markham, York Region, Golden Horseshoe, Ontario, Canada"
"Markham Township, York, Ontario, Canada",43.8563707,-79.3376825,"Markham, York Region, Golden Horseshoe, Ontario, Canada"
"Marlborough, Middlesex, Massachusetts, Colonial America",42.3468589,-71.5525188,"Marlborough, Middlesex County, Massachusetts, 01752, United States"
"Massachusetts Colony, MA",42.3788774,-72.032366,"Massachusetts, United States"
"Massachusetts, British America",42.3788774,-72.032366,"Massachusetts, United States"
"Mattituck, Suffolk, Long Island, New York",41.0119055,-72.5505388,"Mattituck, Town of Southold, Suffolk County, New York, United States"
"Mendon, Massachusetts Bay, British Colonial America, Suffolk, England, United Kingdom",42.1075708,-71.5535197,"Mendon, Worcester County, Massachusetts, United States"
"Mendon, Worcester, Massachusetts Bay, British Colonial Ameri, Herefordshire and Worcester, England, United Kingdom",42.1075708,-71.5535197,"Mendon, Worcester County, Massachusetts, United States"
"Middlestown, Mdsx, Massachusetts, USA",42.485452,-71.3968261,"Middlesex County, Massachusetts, United States"
"Middletown, Mddlsx, Connecticut, USA",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Middletown, Middlesex County, Connecticut, USA",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Middletown, Middlesex County, United States of America",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Middletown, Middlesex, Connecticut, Colonial America",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Millent, Gloucestershire, , England",51.7643786,-2.1880662,"Gloucestershire, England, United Kingdom"
"Lomboeuf, Evreux, Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Mesnil Sous, Junnieges, Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"New London, New London County, Connecticut, United States of America",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Newport, Newport, Rhode Island",41.4899827,-71.3137707,"Newport, Newport County, Rhode Island, 02840, United States"
"Newport, Newport, Rhode Island, British Colonial America",41.4899827,-71.3137707,"Newport, Newport County, Rhode Island, 02840, United States"
"North Benfleet, Basildon District, Essex, England",51.5811509,0.5435726,"North Benfleet, Basildon, Essex, England, SS12 9JL, United Kingdom"
"Northampton, Hampshire, Massachusetts Bay Colony, British Colonial America",42.3178989,-72.6311006,"Northampton, Hampshire County, Massachusetts, United States"
"Northhampton, Hampshire, Massachusetts Colony, British America",42.3178989,-72.6311006,"Northampton, Hampshire County, Massachusetts, United States"
"Oberkirchen, Sankt Wendel, Rhein, Preussen, Allemagne",49.5267777,7.2590378,"Oberkirchen, Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland"
"Orient, Suffolk, Long Island City, Queens, New York, United States",41.1372575,-72.2795773,"Orient, Orient Point, Town of Southold, Suffolk County, New York, United States"
"Oysterponds, Long Island, New York, USA",41.1446001,-72.300622,"Oysterponds Elementary School, 23405, Main Road, Orient, Town of Southold, Suffolk County, New York, 11957, United States"
"Pennsylvania, Pennsylvania, USA",39.9503945,-75.1946713,"Pennsylvania, United States"
"Peterboroughcounty, , Ontario, Canada",44.3048009,-78.3199496,"Peterborough, Central Ontario, Ontario, Canada"
